code,name,ip
AF,阿富汗,45.65.70.1
AX,奥兰群岛,45.65.88.1
AL,阿尔巴尼亚,45.65.76.1
DZ,阿尔及利亚,45.68.90.1
AS,美属萨摩亚,45.65.83.1
AD,安道尔,45.65.68.1
AO,安哥拉,45.65.79.1
AI,安圭拉,45.65.73.1
AQ,南极洲,45.65.81.1
AG,安提瓜和巴布达,45.65.71.1
AR,阿根廷,2.16.0.0
AM,亚美尼亚,45.65.77.1
AW,阿鲁巴,45.65.87.1
AU,澳大利亚,1.0.0.0
AT,奥地利,45.65.84.1
AZ,阿塞拜疆,45.65.90.1
BS,巴哈马,45.66.83.1
BH,巴林,45.66.72.1
BD,孟加拉国,45.66.68.1
BB,巴巴多斯,45.66.66.1
BY,白俄罗斯,45.66.89.1
BE,比利时,45.66.69.1
BZ,伯利兹,45.66.90.1
BJ,贝宁,45.66.74.1
BM,百慕大,45.66.77.1
BT,不丹,45.66.84.1
BO,玻利维亚,45.66.79.1
BQ,博内尔、圣尤斯特歇斯和萨巴,45.66.81.1
BA,波斯尼亚和黑塞哥维那,45.66.65.1
BW,博茨瓦纳,45.66.87.1
BV,布维岛,45.66.86.1
BR,巴西,2.16.168.0
IO,英属印度洋领地,45.73.79.1
BN,文莱达鲁萨兰国,45.66.78.1
BG,保加利亚,45.66.71.1
BF,布基纳法索,45.66.70.1
BI,布隆迪,45.66.73.1
CV,佛得角,45.67.86.1
KH,柬埔寨,45.75.72.1
CM,喀麦隆,45.67.77.1
CA,加拿大,2.16.0.0
KY,开曼群岛,45.75.89.1
CF,中非共和国,45.67.70.1
TD,乍得,45.84.68.1
CL,智利,186.104.0.0
CN,中国,1.0.1.0
CX,圣诞岛,45.67.88.1
CC,科科斯（基林）群岛,45.67.67.1
CO,哥伦比亚,45.67.79.1
KM,科摩罗,45.75.77.1
CD,刚果民主共和国,45.67.68.1
CG,刚果,45.67.71.1
CK,库克群岛,45.67.75.1
CR,哥斯达黎加,45.67.82.1
CI,科特迪瓦,45.67.73.1
HR,克罗地亚,45.72.82.1
CU,古巴,45.67.85.1
CW,库拉索,45.67.87.1
CY,塞浦路斯,45.67.89.1
CZ,捷克共和国,45.67.90.1
